Object-contain Image,Object-contain Image,URL,Typo-body-xs,Typo-body-xs,Typo-body-xs,Typo-body-xs,Bg-bg-primary,Typo-body-xs,Bg-bg-primary,Css-npx427,Typo-body-xs,Typo-body-xs,Bg-bg-primary,Typo-body-xs,Bg-bg-primary,Typo-body-xs,Bg-bg-primary,Typo-body-xs,Bg-bg-primary,Object-contain Image,Css-11nlj6z Image,Css-11nlj6z Image,Css-11nlj6z Image,Css-1wkzhnf
https://cdn.morpho.org/assets/chains/base.png,https://cdn.morpho.org/assets/logos/usdc.svg,https://app.morpho.org/base/market/0x9103c3b4e834476c9a62ea009ba2c884ee42e94e6e314a26f04d312434191836/cbbtc-usdc,cbBTC,USDC,86.00 %,1.35B USDC,$1.35B,136.58M USDC,$136.55M,5.15%,90.53%,127.55M USDC,$127.52M,30.77k cbBTC,$2.36B,1.34B USDC,$1.34B,1.21B USDC,$1.21B,https://cdn.morpho.org/assets/logos/cbbtc.svg,,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,https://cdn.morpho.org/v2/assets/images/gauntlet.svg,+7
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/usdc.svg,https://app.morpho.org/ethereum/market/0x64d65c9a2d91c36d56fbc42d69e979335320169b3df63bf92789e2c8883fcc64/cbbtc-usdc,cbBTC,USDC,86.00 %,284.99M USDC,$284.91M,41.17M USDC,$41.16M,3.73%,85.64%,40.86M USDC,$40.85M,6495.49 cbBTC,$498.98M,284.68M USDC,$284.60M,243.81M USDC,$243.74M,https://cdn.morpho.org/assets/logos/cbbtc.svg,,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,https://cdn.morpho.org/v2/assets/images/gauntlet.svg,+15
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/usdt.svg,https://app.morpho.org/ethereum/market/0xe7e9694b754c4d4f7e21faf7223f6fa71abaeb10296a4c43a54a7977149687d2/wsteth-usdt,wstETH,USDT,86.00 %,220.19M USDT,$219.98M,43.17M USDT,$43.13M,3.08%,81.00%,41.50M USDT,$41.46M,259.22k wstETH,$675.32M,218.52M USDT,$218.31M,177.01M USDT,$176.85M,https://cdn.morpho.org/assets/logos/wsteth.svg,,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,https://cdn.morpho.org/v2/assets/images/gauntlet.svg,+8
https://cdn.morpho.org/assets/chains/base.png,https://cdn.morpho.org/assets/logos/usdc.svg,https://app.morpho.org/base/market/0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda/weth-usdc,WETH,USDC,86.00 %,206.28M USDC,$206.24M,136.67M USDC,$136.64M,5.16%,90.59%,7.22M USDC,$7.22M,60.40k WETH,$127.67M,76.84M USDC,$76.82M,69.61M USDC,$69.60M,https://cdn.morpho.org/assets/logos/weth.svg,,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,https://cdn.morpho.org/v2/assets/images/gauntlet.svg,+8
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/usdc.svg,https://app.morpho.org/ethereum/market/0x3a85e619751152991742810df6ec69ce473daef99e28a64ab2340d7b7ccfee49/wbtc-usdc,WBTC,USDC,86.00 %,162.36M USDC,$162.32M,20.36M USDC,$20.36M,3.72%,87.52%,20.24M USDC,$20.23M,3645.03 WBTC,$278.90M,162.24M USDC,$162.19M,141.99M USDC,$141.95M,https://cdn.morpho.org/assets/logos/wbtc.svg,,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,https://cdn.morpho.org/v2/assets/images/gauntlet.svg,+13
https://cdn.morpho.org/assets/chains/base.png,https://cdn.morpho.org/assets/logos/usdc.svg,https://app.morpho.org/base/market/0x0ca10126f6c94cbd9cf0a48cc9516ae5e3dec5aa68303e6d988ee37c5149bf0d/cbeth-usdc,cbETH,USDC,77.00 %,138.69M USDC,$138.66M,136.49M USDC,$136.46M,5.20%,90.57%,228.86k USDC,$228.81k,2161.52 cbETH,$5.16M,2.42M USDC,$2.42M,2.20M USDC,$2.20M,https://cdn.morpho.org/assets/logos/cbeth.svg,,https://cdn.morpho.org/v2/assets/images/gauntlet.svg,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/usdt.svg,https://app.morpho.org/ethereum/market/0x3274643db77a064abd3bc851de77556a4ad2e2f502f4f0c80845fa8f909ecf0b/susds-usdt,sUSDS,USDT,96.50 %,127.69M USDT,$127.57M,35.76M USDT,$35.72M,2.81%,79.78%,23.28M USDT,$23.26M,94.91M sUSDS,$104.08M,115.22M USDT,$115.11M,91.93M USDT,$91.84M,https://cdn.morpho.org/assets/logos/susds.svg,,https://cdn.morpho.org/v2/assets/images/skymoney.svg,https://cdn.morpho.org/v2/assets/images/kpk.svg,+4
https://cdn.morpho.org/assets/chains/base.png,https://cdn.morpho.org/assets/logos/usdc.svg,https://app.morpho.org/base/market/0x13c42741a359ac4a8aa8287d2be109dcf28344484f91185f9a79bd5a805a55ae/wsteth-usdc,wstETH,USDC,86.00 %,103.77M USDC,$103.74M,102.22M USDC,$102.20M,5.12%,90.62%,159.73k USDC,$159.70k,1351.19 wstETH,$3.52M,1.70M USDC,$1.70M,1.54M USDC,$1.54M,https://cdn.morpho.org/assets/logos/wsteth.svg,,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,https://cdn.morpho.org/v2/assets/images/gauntlet.svg,+5
https://cdn.morpho.org/assets/chains/eth.svg,https://cdn.morpho.org/assets/logos/pyusd.svg,https://app.morpho.org/ethereum/market/0xc9629945524f3fde56c7e8854a6c3d48e76b9d97236abbe73c750fcc7aeb8501/syrupusdc-pyusd,syrupUSDC,PYUSD,91.50 %,74.98M PYUSD,$74.95M,9.90M PYUSD,$9.89M,4.12%,86.79%,9.90M PYUSD,$9.89M,64.84M syrupUSDC,$75.52M,74.98M PYUSD,$74.95M,65.08M PYUSD,$65.06M,https://cdn.morpho.org/assets/logos/syrupusdc.svg,https://cdn.morpho.org/v2/assets/images/sentora.svg,,,
https://cdn.morpho.org/assets/chains/base.png,https://cdn.morpho.org/assets/logos/usdc.svg,https://app.morpho.org/base/market/0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad/cbeth-usdc,cbETH,USDC,86.00 %,74.05M USDC,$74.03M,72.65M USDC,$72.64M,5.14%,90.51%,146.37k USDC,$146.34k,1073.86 cbETH,$2.56M,1.54M USDC,$1.54M,1.39M USDC,$1.39M,https://cdn.morpho.org/assets/logos/cbeth.svg,,https://cdn.morpho.org/v2/assets/images/gauntlet.svg,https://cdn.morpho.org/v2/assets/images/steakhouse.svg,+4
